,Review
506,"Not a great option for boarding pass. Even though I stay logged into app with frequent flyer number, have to search for flight with name and confirmation number. App boots me out of boarding pass after half hour and have to search again with conf. number. Really inconvenient and pannic inducing if you get booted out right as you reach security checkpoint and have to search through your emails for the stupid conf number. If you can access trip, nice to have updated gate info."
507,"App is garbage. If you don't have internet access the app loses you boarding pass. It supposed to be able to save the boarding pass to your wallet, on Android it does not even give you the option and the iPhone version keeps coming up with errors. App should be simple and have the ability just to save the boarding passes with out needing internet access. Will be deleting the app and going back to paper. So much for trying to save natural resources."
508,Problem all time. Stupid app
509,Log me out and doesn't allow me to log in with the right credentials. Doesn't accept my credit card information. I have to call in to make reservations. Unreliable.
510,Been trying to download app several times over the last month still not successful. Tried with 2 other phones still same issue.
511,"Sends out spam ""test"" notifications"
512,"This app is not easy to use. I cannot navigate through it at all. To be fair, maybe I am just use to the ease of the Alaska Airlines app where I can easily add other family members reservations to my phone too, make changes and contact Alaska Airlines quickly. This will be the first time I fly with Delta. I am optimistic that the flight will be more pleasurable than their app. If not, I will be back to flying only Alaska Airlines."
513,"Functional but crashes a lot. Worst part is every time you need to change your password, this app will log you out and lock your account. Then you have to call in to reset your password again before you can use your account. After several times of doing this, I'm contemplating whether this app is worth having in the first place."
514,"I am not able to login to the app anymore. Something has changed. The usual phone restart, cleanup, Delta app uninstall and install didn't help. I am still able to log in, while using my laptop. Same credentials don't work for the phone app. I'll add more stars, when it is fixed. Samsung Galaxy S8, Android version 9 UpdateJuly 27th, 2019: Back in business, thanks to cust service going extra mile. Happy using this app during every travel of mine. Rating increased. Thank you."
515,"topped working this morning. Everytime I try to login it says, Oops, please enter valid credentials. I can use the same credentials to log into the website from the same phone and other devices. Restart, clear cache, clear data, uninstall/reinstall... no dice, same issue is still there. So the app has rendered itself completely useless for me."
516,Right as you get to the TSA station to go through security at a packed airport is pretty much the worst time for your airline app to crash and dump all your flight info and boarding pass. Had to back out of line and go all the way back to print my boarding pass. Uninstalled the app immediately after that. I could have missed my flight!
517,There's no way to view my return flight's information. The app has no way of reporting issues other than calling a phone number.
518,"t does the job, and is honestly much better than it used to be, but for an app that you expect to use while traveling to just completely not work while you've got a VPN running? Really? You mean I have to open myself up to security risks to use your app? Bad, bad move, Delta."
519,Great app but whenever I'm checking in using the app I have to reinput my travel documentation even though it's already in my profile and when I try to pay for luggage it continually declines or doesn't process the payment regardless of the type of card used. Other than that does everything I need it to. On a Galaxy Note 9.
520,"absolute garbage. the app doesn't even work. had to change my password 8 times. and every time it has said I am not entering ""valid credentials."" the whole point of an airline app is to make it easier for the customer to use and have flight info on their phone. this makes it impossible to even log in to. waste of space and time."
521,"It works almost entirely as it should, but one of the programmers needs to fix the text entries for departure and boarding times. On every single one of my flights it will say something ridiculous like ""departs at 10AM, boards at 1230PM. It's an easy fix and I don't see why it wouldn't be patched."
522,"Very useful; lets you view flights without needing to login/create an account; opened app after flight notice, and was checked in automatically!; good that it only supports portrait orientation (will not accidentally flip when you place it on the reader); (do wish it had a separate ticket view that automatically boosted screen brightness, as other apps do, but on the other hand no problems with default settings)."
523,This app used to run perfectly. Now it seems to log me out just as I am getting ready to board a plane. A page pops up and says 'you have no flights today' as I'm in line to board. It's frustrating. My quick fix it to take a screen shot of my boarding pass or print off my boarding pass. This issue really needs to be fixed.
524,"Always print boarding passes because the app randomly logs you out or crashes, usually when you're in line to board, and you have to have your confirmation number or cc number handy to get your flight info again. When it works it's fine, but I just can't count on it to work."
525,This app worked at one time... But now it just crashes when checking in. So now it seems that I can only use this app to see my boarding pass... But still have to print it... Just in case this app doesn't work... Hmmmm. I only fly Delta due to comfort+... This is not going to change that... But Delta needs to fix this
526,Terrible! I can login to the Delta website and get all of my information but the Delta app doesn't recognize me and wont let me login. Had to go through a third party app to checkin through my phone and get my boarding pass. Third party app even uses my skymiles.
527,"Use Expedia to book. this for just boarding pass. Especially if you plan on buying ""travel insurance"". They can charge you togther over the app, but cant help you past that. Delta needs to do a better job at being responsible for products they sell(3rd party or not). One gal w Delta origionally was helpful, but God help you if you get broken English robots after hours...if you record conversatuons, sugest you review them. May switch back to Alaska after this last episode, but there are some good."
528,"Most of the time when you need to use the app, it will kick you out and you will have to reenter your user name and password. Then it still won't let you in because your password is ""incorrect"". So, you wait 20 minutes, sign in with the same password and it will let you in. Don't close the app though, because as soon as you do and try to get back into it, it will need a password and that password will be incorrect. Really really really frustrating."
529,"Keeps crashing and losing my flight info. It's so frustrating, whether it is going in through the security check point or boarding the plane, this stupid app crashes, can't locate my flights, my trips sucks... so i have to find my confirmation number and find my boarding pass. it's only good for checking in on time. another annoying thing it does is - not Updateany delays. such a rubbish app, might s well just have the boarding pass printed out. giving it one star because i print it out."
530,Best airline period!
531,Really disappointed lately in this app. I constantly have to sign back in and often it doesn't recognize the known password or biometrics. My eyes don't change! I'm Diamond medallion so I use this app nearly every week and it's just not working.
532,"it worked better in the past and has gradually gotten worse. i have to enter my login information everytime, and it dose not have my flights saved in the app when i do login. if you check-in on a computer it does not register on the app. This all makes it difficult to call the app useful."
533,"When i need it to work, it literally makes my info disappear. Its not useful if i have to keep adding my confirmation number only to have it disappear when im boarding a plane. Absolutely ridiculous. Its been useful for some other information like which baggage claim/terminal and gate. They even have airport maps. But literally none of this is useful because the biggest issue is having to readd my trips over and over again."
534,"As others have stated, app loses flight info shortly before takeoff. Crashes when attempting to view boarding pass. Frustrating..."
535,"Can't believe that we had to pay $30 for our luggage. Going and returning home. A total of $60, dollars. The baggage handlers tore up our new luggage. I was very disappointed and dissatisfied with Delta Airlines."
536,The best travel app!!
537,Best airline app I have ever used. Wonderful user experience.
538,"terrible frustrating app. always shows no upcoming flight's, even when i have entered the flight. now i get an alert that it drains my battery, and with no usb on the flights I've had with delta, thats an issue. poorly developed and not easy to use. they should use Alaska airlines app to see one that works."
539,"Very inconvenient app. Used it as guest to check-in. While the checkin itself was smooth, it ""forgot"" my itinerary 3 times. Had to manually re-insert my credentials to see the boarding passes. On top of this, the app does not show the option to email boarding passes! Imagine you are out of data midway through your trip!!!"
540,"Glitchy, gates don't update, keeps telling me to check in when I've already done so, and even one leg complete and waiting on another in the airport. Not user friendly, getting the boarding pass requires experimentation to find the right screen. United's app should be what they aim to achieve."
541,My flight keeps getting removed so I lose my boarding pass when I need it most
542,They should remove this app entirely until they resolve such an enormous problem as randomly DELETING YOUR ITINERARY. Ridiculous.. I always get a printout of my boarding passes just because this app is such a let down. It only surprises me when I can actually use it to board my flight.
543,"I'm using this app for the first time. It dropped my itinerary while I was in one of my connecting airports, so I had to look up my info again elsewhere. The app wasn't really adding any value in the first place, so I'm uninstalling it and not using it again. I'm glad I wasn't relying on it."
544,"Missing one important thing. Users should be able to complain/compliment their flight crew through a form in the app. Click on the flight, click leave feedback about your experience, and allow user to type. i had a great crew bwi->slc, but forgot their names by the time i got internet access."
545,This app works OK generally but I have been having issues with My Trips consistently. I would have an upcoming trip and it would not display and indicate I have no upcoming trips. I've uninstalled and reinstalled the app without much improvement. Totally hit or miss if my trips are displayed.
546,Whenever I get a notification about a flight from the app and then I click on the message the app crashes and my boarding pass dissapears. This happens frequently and is unacceptable considering i travel frequently. The whole point of the app is to be more efficient and to have everything accessible in your phone. This terrible app is driving me to look towards other carriers and I have diamond status with Delta 3 years in a row.
547,"I travel a lot on a number of airlines. Delta has the best app, hands down. I like the great variety of information available plus the ability to book and/or change flights easily. The notifications for boarding, baggage status and arrival/departure gates are the best in the business. This is the ultimate airline app."
548,Had to keep adding my flight info so I could use boarding passes at each leg of my trip. Why does it forget this info? Example checked in and as I was walking up to the TSA check point it forgot my info and I had to re-enter the info.
549,This app loves to fail just as I'm approaching TSA and has on a number of occasions forced me to exit a line to go get a paper ticket. It also loves to lock my account claiming failed pw attempts. Maybe others have better luck but my experience has been endlessly terrible. To be avoided.
550,"The app worked great for awhile, but now I cant even look into booking a flight. If you put in an airport in the from and to sections, it stays blank. The number one feature, being able to book or check out potential rates and prices, is unusable. The app was never great, but if it fails to perform its primary function, then it is trash. Just use the website"
551,"The app used to work very well. Recently (since Jan 2020) it is prone to glitches and ghost notifications. Check in gets stuck and abandon the app to check in on website. If first leg of flight requires checking in on partner airline (KLM) the app won't get past the check in and is worthless for the rest of the trip. Baggage notifications work, so 1 extra star for that. But other ghost notifications are annoyances. Attempts to work out issues with Delta chat reps had no solution. Bummer."
552,The app crashed right before I had to scan my boarding pass. It also wiped out all of my trips. Tried logging out and could not log back in. Tried resetting password the email arrived 15 minutes late. Your password cannot be the same as the last one! I just tried logging in with but it told me it's invalid. Anyway after logging back in my trips are still not showing up even though I see receipts for them.
553,"Delta's app and website are terrible. It never remembers your info even though you've checked the box to do so. Then once you've typed in the password; correctly i might add, multiple times, it doesn't work. Reset the password, doesn't work. I wanted to book a vacation with them. Got fed up and booked through a different airline. Stay away from this catastrophe. I'd give it zero but that's not possible unfortunately."
554,"Really cool app. Used it for my trip to and from hawaii. Has maps of the airports, automatic tracking of your bags, gate updates, and departure times. Only hitch I had was it kept losing my flight and I haf to re-enter confirmation info over 10 different times which can get tedius/annoying when you don't know where the hell you are. Great app otherwise."
555,"The app works for booking and getting flight information but it has some serious shortcomings: to do anything it wants confirmation number every time you do flight anything. The confirmation number is not displayed on the online boarding pass, so you have to dig through emails to find it. Then the app forgets it anytime you need updated flight information (gates) if you leave the app. You can purchase checked bags but it doesn't remember the purchase or offer the receipt for expensing."
556,"The app has worked well in terms of keeping me immediately updated of flight changes and luggage status. Unfortunately, it can't fix Delta's terrible track record I've had with them, which meant needing multiple notifications. When a flight needed rescheduled, the app came short by requiring to rebook all legs, without giving the option of only changing the connecting flight. As a result, alternative flight the same night got full by time got through to customer service to change to it."
557,"I have used this app for years and never had any issues until recently. TSA Precheck is not showing on my mobile device boarding pass, but it does show on the paper boarding pass when i go to the counter and have them print it. I have had this problem with the past 3 flights in a row."
558,"Works well most of the time. Would be better with an option to read your password when typing it in, as on the website version. Would also be better to automatically save the boarding passes to the phone such that it is not necessary to login and have web access to find it again"
559,I like the Delta app. It has more options and is better than lots of other airline apps. The only thing they changed that I don't like is on the checkin it does not prompt you for bags. I always check one and many people do not so I can see why. Now I have to reopen it to check bags up front . I know I can do it on the kiosk but like to get done before I hit the airport
560,Logged me out multiple times while at the airport. Had a problem where my flight arrived late and it wouldn't show my originally scheduled connecting flight. It only showed a new flight that I could switch to. Had to look up the flight and gate info manually. Gate staff assured me that I still had a seat on the flight and that my checked bag would make it on the flight as well. Luckily I didn't accept the new connecting flight like the app made me think I needed to do before I talked to the gate
561,"Good app....when it works! I have already checked in for a flight early tomorrow morning, but now the app tells me I ""have no upcoming flights"" and "" find my flight"" can't find my flight. Not the first time this has happened. Restarted the app numerous times over the last 2 hours..still not working."
562,"One of the best airline apps I've come across. I'd still suggest taking a screenshot of your boarding pass or better yet, printing it on paper as a precaution, but I've had no problems with it and I've used it for every function. The boarding notification is also very useful."
563,I used to use delta app 3-4years ago and it was great. Recently started to fly them again and the app won't keep me logged it or pull up my flights unless I use my record locator each time. Very frustrating.
564,"When it works it's fine, but frequently loses track of upcoming trips. Frustrating when you're about to board and suddenly no longer have a boarding pass."
565,"Poor for real needs. You think this apps main purpose is to tell you what your travel plans are and show you your ticket that you just checked in with (and check in before arrival to airport, but that's a failure too) but the app fails more than half the time. It's more frustrating to use. Just expect to use a hard copy ticket to be safe. Now, don't say I didn't warn you! Delta itself is great; it's just a bad app."
566,"It never works!!!! Everytime I attempt to open the app just shuts down. Which defeats the whole purpose of the app. I can't book flights, I can't check-in, I can't use to scan my tickets which means I know have to have a paper ticket. I can't do ANYTHING!!! I have updated, I have uninstalled and reinstalled, nothing works! Someone please fix because this is crazy and very inconvenient"
567,Why does it not show my purchased trips if I'm logged in? Why do I have to search for confirmation number etc. Such a dumb app. Where is the flexible dates option for booking flights?
568,"Nice when it works. But just doesn't load my boarding pass for same day flights majority of my travels. I have to go through their website and manually type in my confirmation to have it text to me. Might be an issue with Android specifically I'm not sure. Has happened with all my devices, so I know it's not a particular phone."
569,"App still doesn't remember password, and makes me reset password almost every time I try to log in. Probably the worst travel app I have ever used by a major airline or hotel."
570,"Sometimes when you checkin on scan your boarding pass for a connecting flight, it removes your flight itinerary. I checked last night and now I have to refind my flight because it removed it. Last week after scanning my boarding pass to get through TSA it removed my flight from the app. Other than that it works, but that's an essential part of the app."
571,Garbage! What is wrong with these people at Delta? How can it possibly be a good idea to disallow access to my upcoming flight info within the app? I have to go over to my email to retrieve a confirmation number every time? What? Get a clue guys! Wake up!
572,"Beyond irritating! App erases your current trip/flight when flying across time zones from East to west, if your flight lands at 2300 and the phone is using plane time which is plus one or two hours. If you want information about the flight you are still on, then you have to manual enter confirmation numbers!!!! You would think the app would keep your current trip for at least 24-48 hours or one or two hours after you have landed local time."
573,"Sheesh this app is frustrating. I use this app BECAUSE I'M FLYING, focus on THAT. As others have said it frequently loses your trips requiring you to reenter you confirmation number/credit card/ticket number. It throws errors constantly. Highly unreliable. Frankly, if you can't get it right for those already flying why in the world would I trust your system to book/buy something else? There are a thousand ways to buy what I want, start by getting it right for those who are already flying."
574,"This app made my first time flying in years much easier and about hassle free . Lots of notifs and updates on flight details, let's you know when it's boarding as well !"
575,"In fairness, I still can't judge accurately, but I'll try again to see if the app still restarts after I manually Force Stop or hibernate it from a utility app, adding to the drain on the battery. Might uninstall & reinstall when needed. To Moto G5+ users w/Oreo 8 & 8.1 who reported this app useless after upgrading, Thanks for the warning. Android 7.0 stays on this G5+. Oreo ruined my other G5+'s personalizations????"
576,"Trips disappear. Every single trip I've used this app for, the trip has disappeared from the app at some point. Usually more than once. Then I need to find my reservation number and search for it again to get my boarding pass. This is very frustrating, it would be great if this was fixed up. Otherwise the app is very good"
577,"Found a perfect flight, selected all my options, went to pay. Input all my information, and it told me I was missing some information. Nothing was left blank, nothing was highlighted in red. Tried 7 times, including starting over from scratch twice. Finally it gave me ""fatal error"" and lost my entire booking. Am not likely to use the app again"
578,"For the amount of dependency they're expecting users to have for this app, it is extremely unreliable and complicated to use. 2/18 -- Downgraded my vote again with this app. It is the least dependable app I have ever used. Constantly crashes. Locks you out and no one at Delta can help you when your in a hurry. Which naturally is when this app decides to screw up."
579,"I am traveling with kids. Upon landing a push notification shows the carousel number. I click it, the notificatio disappears. The app opens but does not show the notification. Notifications section io theapp is empty. Moreover the whole flight is gone as historic. Aparently, creators always offboard in 5 mins and never traveled with kids"
580,"There are some pretty serious design flaws. Their programmers don't seem to want to cache data ; if you lose connectivity, boarding passes can disappear. Seriously... It's an app for a location that frequently does not have Internet access? Why design a point of failure that's in one of the primary"
581,"App loses upcoming trip info constantly. Then have to input confirmation number again to get the trip back. Not good when using it for boarding pass and in line to present to TSA. Also when adding trip to your account, it won't take into account your Known Traveler Number that is already in your profile, which means no TSA pre-check for you. App and system built by amatuers."
582,"After the recent Updateit had signed me out. Normally that wouldn't be such a big deal, but I am unable to sign back in, I am unable to reset my password, and I am unable to look up my username. I keep getting the same message over and over again saying that ""We are unable to do that at this time."" Thats only been happening since the last update, so something had to have gone wrong and needs to be fixed."
583,"This app has the necessary features to be useful, BUT it doesn't retain the info entered by the user. How does that play out as a user experience? Imagine turning your phone's data connection back on after a flight and having to A) look up and enter your Fly Delta app password to open the app for your connecting flight details. Now imagine having to look up and enter your confirmation number to look at those flight details as you're walking across an airport with your carry on belongings in tow"
584,"You know your app is bad when it almost makes someone want to stop using the airline. Mostly started having trouble once I switched back to Samsung. My note 10 cant load boarding passes half the time, wont let me check in even on wifi more than half the time. It's really a bad app. Great airline but it's so dumb that they wont spend just a little more of their large piles of money on a decent app."
585,"This Updateis horrible. It won't remember trips, requiring a confirmation number every single time the app is reopened. Rather defeats the whole convenience of the app if I have to look up the confirmation number and save the boarding pass to photos as a primary document rather than a back up. If there's a gate change, the app doesn't notify, either."
586,"Decent functionality. Bag tracking easier than in the website, for example. BUT: a few days ago I renewed my SkyClub membership online (previously done it at the Club), and thereafter the app started crashing constantly. According to crash logs, obviously a MyWallet-spesific decimal separator problem (dot works, comma crashes), I had to temporarily change the phone language setting to US English to keep the app usable at all until I finish the ongoing and quite complex flight itinerary. Pls fix!"
587,"A lot like Delta's internal systems, the app has been plagued with issues over the past several months. Save yourself the hassle and get paper copies of your boarding passes. Or make certain you save the electronic qr code as being locked out of your boarding passes once past security is a hassle. I"
588,Keeps all info for possible fligjrs and uses the info for higher prices! Very disappointed!
589,The only way to see upcoming trips and check in is to look up the trip via the reservation number (I literally never have that readily available) or enter my 16 digit credit card number...who thought that was a good idea?! This app is so poorly done it makes me want to go back to flying AA just for the ease of use of their app! (I fly for business every single week!)
590,"After I check in, my boarding pass disappears and my trip is no longer listed under my trips. I have to keep looking it up with the confirmation number. Not convenient. I also can't see if my Known Traveler Number on my boarding pass. I just had TSA send me to the back of the security line because I didn't have pre check in my boarding pass. It was there on my out bound trip."
591,"Poorly designed. I signed up and try to log in. It does not recognize my password. When I request to reset password, it takes me to the website, which is also very poorly designed. Also, links in app, when I enter as guest, take me to 404 pages, cannot find page. 12-16-19 Update: Continues to malfunction. It didn't work over the weekend. Now, it won't let me log in."
592,"It is easy to use, but several parts of the app simply don't work. Updating my address, for example... Is does not accept my address, no matter what I do, even though it is correct. Pre-purchasing wifi also doesn't work (they want you to spend extra $8 purchasing during flight, which it suspiciously works...)"
593,"This app could be great except it doesn't store boarding passes on the device and I can't count the number of times I've checked into my flight and at the airport been unable to retrieve my boarding pass without rebooting my phone. In addition, the flight I'm about to get on often mysteriously disappears from my trips the day of travel. Overall I use it because it allows for convenient check-in, but it's otherwise been a disaster for 5 years since I first installed it."
594,"Disgustingly Horrible, every time there is an update! Here I am in the middle of another trip, get a ""test"" message from Delta, and now can't get logged in to the app at all. When it works, it is nice, but the developers are very consistent in breaking it at the worst possible times. Absolutely HORRIBLE quality control before they push it out. SO frustrating!!"
595,"Will uninstall this worthless app once again. I keep hoping and trying this, but it is way behind the screens at the airport"
596,"never works, what's the point. I'm a sky miles member woohoo, I dont feel special at all. ***EDIT*** Now I'm a Silver Medallion, who cares, somehow the app got worse, I can't book flights from it, can't do squat on this app"
597,Finished on first page can't even register.
598,Boarding passes are great in this app
599,"Latest Updatewouldn't open, uninstalled and reinstalled. OK now. LG V35"
600,Same story as many others. Works great when it works. Forgets all your trips every day or two
601,i wish there was a button when youre on your way but about to miss your flight lol . makes you go to website to get # but overall great
602,Great app from booking the flight to getting back home.
603,Won't show my ticket. It just says it's too close to my departure time to check in. I'm already checked in. I'm at the gate. Just show me the **** ticket!
604,"Boarding passes disappear randomly. Seriously, you had one job..."
605,Useless PoC. You can immediately tell it never went through user testing. Blocking an account for trying to log in is the most stupid thing I've seen. And making the user CALL?? An airline??? I'd rather NOT fly Delta.
606,App works fine except for sky club. When I select an airport the app closes. Galaxy S9
607,"It never remembers my flights, and requires me to repeatedly enter my confirmation number to view my boarding pass."
608,"Horrible experience!! Errors while booking international trip of 4 people, Credit card being charged $4.5K × 3, one for each error, no confirmation email and most importantly, NO ONE CONTACTED ME TO RESOLVE THIS ISSUE AFTER EMAILING CUSTOMER SERVICE COMPLAINTS DEPARTMENT!!!!"
609,My ticket disappeared and my confirmation no. Wouldn't work AFTER I already checked in.
610,Unable to view boarding passes for my flights MNL > NRT > ATL > MSY. and also unable to message via app.
611,Could use some improvements but probably the best airline app of the US airlines. Delta doesnt seem to take feedback.
612,"Don't log in as guest, as it may forget your boarding pass."
613,"Terrible at finding the flights, use the same information online at get instant results."
614,Glitchy. Forces you to enter confirmation number repeatedly instead of just remembering your trip.
615,So the app crashed while I was trying to cancel a flight that's been PENDING REFUND on their website ALL DAY before it leaves tomorrow and when I relaunched the app it had checked me in!!!! 45 minute wait for a rep and he confirmed the static was HIS END and he'd call me back 50 mins ago! Tried calling back on another line and the wait is 58 more minutes!!! DON'T FLY DELTA!!! IT'S A NIGHTMARE AND I MAY BE OUT NEARLY A THOUSAND BUCKS ON THIS INTERNATIONAL FLIGHT I'M NOT TAKING TO KOREA NOW!!! ??
616,The app continues to get better! When will you add the ability to save my BP to Google Pay? Why do you only support this kind of feature for iOS?
617,App itself works great but visually needs to add nav bar color and add Google pay boarding passes.
618,App couldn't even open for some months now. Scrap it and introduce a better App. Its a disgrace to Delta's HIGH STANDARD in the Airline business.
619,"Hangs and crashes all the time, unreliable app from otherwise reliable air carrier."
620,Doesn't work half of the time . I have to put all my info in each time I use it and then it forgets it then I got to do it again
621,Great to track my baggage and up to date standby list
622,The app of the year for technical difficulties. An almost useless app. Most disappointing.
623,Why doesn't it save boarding passes to Google Pay? Also why does it exit the app when I press the back button? So irritating.
624,Constantly crashes. It won't even open
625,The app logs me off and denies login at the most inconvenient situations. Delta CIO and IT team leaders need a good a$$ kicking to motivate flawless service.
626,"Horrible. All it ever says is, The App is having technical difficulty. Useless app and you certainly can't rely on it for your boarding pass."
627,This app has so many nice touches. My favourite example: weather in your destination is shown in Farenheit. Tap the number and it changes to Celsius. Delightful!
628,"I am a Sky Miles member. I am using this app for the first time. I am traveling tomorrow. I am checked in and feel great! Using the app takes away stress of travel. I also fly needs assistance, so I can be sure there will be travel assistance at every leg of my flights! Thank you, Delta! You are the best!!!"
629,"Worst check in process I've ever had. Every few seconds the app would stop, load something, then take me back to the starting page. The app charged me for a checked bag (got credit card notification), then said ""sorry, we could not process your order."" I had to fill in my information multiple times. It took nearly 20 minutes instead of the usual 20 seconds. Nothing loads. Half the features are broken. Tried checking in through an iPhone, that was just as bad. - I don't plan on flying Delta."
630,"Constantly forgets my trip that I am on despite me entering the confirmation number many many times. When I need a boarding pass and it suddenly forgets that I'm going to be flying today, that's not very helpful. By the end I had memorized my number because I had to enter it so many times. Overall slow and clunky. Love flying delta but sheeeeesh."
631,"Does not recognize my login/ password etc. I had restarted my password just for the sake of it although I didn't need to. I tried again, and still says credential not recognize. Just terrible.. I was this close to purchase a flight with delta. Given this hassel I don't see my self using this app nor delta in general. Fix this up Delta, I had seen you as high standard and was thinkingb of become loyal customer. But ever time having an issue logging in is not convenient"
632,"The app is okay and does its duty... **Navigation within app** Compared to the iPhone version, I think the navigation without buttons on the bottom for easy access of My Delta/Today/etc is a bit annoying (you first need to click the burger menu, then select...) - so usability-wise, I much prefer this feature on the iPhone version. **Accessing the boarding passes** Also, please integrate a pkpass export into Google Pay (like you do for Apple Passbook), or implement at least an Android notification (starting 3 hours before the flight) that brings you directly to the Today view - which would make it much easier to quickly access the boarding pass. Looking forward to future updates - and keep climbing!"
633,"Would be great if it works. This app has the uncanny ability to lose my reservation in the app almost every time I'm standing at the gate waiting to check in, or at passport control when I need to scan in. Suggest screenshotting your QR code boarding pass so you don't lose it at crucial moments."
634,The book function from the app does not work. I cannot change the destination.
635,"Won't even allow me to set up my account. Guess through the whole process, to then give me an error message at the very last step. I do get an email welcoming me, but when trying to log in it tells me I don't have an account. Tried setting up my account again, same issue."
636,I think they intentionally made it difficult to use. It forget your trip. give you a panic heart attack when you trying show your boarding pass at gate. it tell you to log in. It should not need rocket science to fix those bugs. Very annoying.
637,"Easy to navigate, and fast."
638,"Easy user interface, accurate and timely updates while in flight and at the airports. Check-in is very easy, and I screenshot the QR code temporarily in case I have connection issues when approaching security. If in flight entertainment with Delta Studio was more integrated with the app that would be nice. Downloading another app and waiting for the links to load in a separate window when selecting movies is inconvenient."
639,"Constantly will not show seat assignments and will give a ""oops something went wrong and to try back later"". Gold members are to be able to access to seat selection 72hrs in advance but it doesn't seem to allow that anymore, just gives error codes."
640,At the check mark for check-in there is larger font reads 14 hours to check-in. Lower down in smaller font it reads 1D 14 hours check-in. Make both places read the remaining time before check-in. In other time zones that could be confusing. No flight in to Philippines but app did advise me not to go to the airport. App was useless in that regard. App needs much work.
641,Why such important information as boarding pass is not stored locally and readily accessible? Why half of the time after I background the app I have to search for my flight again entering the confirmation number? The app has some nice features like airport map but surprisingly lack a simple convenient functionality.
642,"This app is GARBAGE! Do NOT use this app to check in for international flights or it will screw you and you'll have to arrive at the airport an additional 2 hours early for your flight. Or better yet, just book the flight with American, United, or any other airline that has an app that works correctly."
643,"Thanks for making the TSE checkmark so small on the new app interface that even with bifocals you can't see it and for making it bright red instead of blue so that you think something's wrong when you open your app. Nice changes, why don't you consider people who actually fly and use the app and make the TSA Pre sign visible to someone who just glances at their phone without their glasses on even with bifocals it's too small to see."
644,"If a companion is traveling in the same flight with a separate ticket, please provide the ability to tie their PNR(confirmation number) on the app so if we select seats adjacent to each other, we do not lose that because of upgrades for one of the passengers."
645,"Update: latest version still has the same bug. Pretty good app, except that when traveling with multiple passengers, it presented the wrong barcode to security. Finally tried the other barcode with their name and came up as mine on TSAs scanner, but that's a pretty serious flaw in the app!"
646,"While the Delta App is what it is (a airline application) I haven't used it in quite some time. Today, it popped up with a notification on my phone with the title and text of ""test"". Sounds like a compromised application; no thank you. Uninstalling."
647,"Used to love the app. Clean UI. Gives me quick control of critical features. But then with a build this year, it gets hung loading constantly. Only resolves with closing and reopening the app then waiting. It's the one thing ruining the app."
648,"SUPER clunky app. Poor design. When trying to create a SkyMiles profile, I filled out all the fields before it told me my password was invalid. I had to fill the whole thing out 5 or 6 times because it kept copying info I'd filled out into the wrong fields and causing different errors."
649,"Get error messages when I try to reset my password. Only option is to call customer service. Locked out of account. Call customer service. ""Please say or enter your long-ass delta account number."" Pass."
650,Nice idea and mostly works well. Functions are too limited vs website and experience way too many errors when trying to book or purchased upgrades to seats. Don't offer a seat upgrade and then tell me you can't process it. Please fix these issues.
651,Very limited functionality. It also never seems to remember you username when you ck the box. It also seems to take 4 times for the password to work. It always says you have entered the wrong pw. Very poor app.
652,Ahh!! It's twice now that the app decides to forget my flight and boarding pass while in line. How have they not fixed the need for internet access yet? Take screenshots of your boarding passes if you use this app.
653,"Locked me out of my medallian account by repeatedly trying to connect with wrong password after I changed password via web site. Then told me to call customer service to unlock account, but customer service says I have to wait 24 hours after last logon attempt. Lots of bugs when it did connect."
654,"Often can't find your flight or say it is ""unable to find your reservation with infomation I provided"" even though the info provided is correct. Sometimes it works. Sometimes it is very frustrating."
655,"This app sucks compared to literally all other airline apps. Look at Alaska or United to see what a good one looks like. Delta inexplicably just seems to open your browser to their site, and is not at all tuned to mobile devices."
656,"This used to be one of my favorite airline app (and still is from a functionality standpoint) but ARE YOU KIDDING with the new design and color scheme? It hurts the eyes, is not consistent, light blue, dark blue, hot pink, white - what is going on??? I think there have been more than enough negative reviews complaining about the revised design - you should seriously consider reverting back."
657,"It's a nice app and worked for my flights... When it actually worked. There's a constant issue with it forgetting your ""trip"" so you have to enter your confirmation code over and over again (usually at the most inconvenient time). Or the app will refresh while you're using it and forget the very trip you're looking at, so you have to put your code in again. Super annoying."
658,"Just got a notification that only said ""test"". Now I think it's only a matter of time before I start getting notifications for ads. So the test mostly just reminded to uninstall the app."
659,"Buggy. Added my flights to the app, which seemed to save them. When I tried to check in, the app lost my flights. It lost them again when I tried to board. I pretty much need to type in my confirmation number each time. Also: really poor experience purchasing Wi-Fi. I bought Wi-Fi while booking a flight, and I was charged for it. The app has no record of that and even gives me the option to buy Wi-Fi for the same flight. No mention of Wi-Fi in any emails either. When I called Delta, they told me I had to call a different company."
660,"The app now logs me out every time I come back into it on my phone if it was already open. Having to log in every time I want to check my gate is insane. Basically use the app to open your boarding pass, then screenshot the pass, because when you try to pull up your pass at the gate, it'll log you out then have to reload the pass. If you don't want to hold up the line behind you just screenshot or print your boarding passes, cause this app is a buggy mess."
661,This is the worst app I've had. I cannot log into my account with it. There seems to be nice features - if I could ever use them. I can log on with my computer and through the browser on my phone - just not through the app.
