REVIEW,SENTIMENT,Module
"Great app, well setup making it much easier to track your upcoming flights, manage bookings, and makes it much easier to get from security to check-in to airborne.",Positive,Flight Status
Very slick and has everything I need to book and board a flight.,Positive,Booking Page
great app...0 issues since having this app....love it,Positive,User Experience
It does everything I want an airline app to do. It's intuitive and easy enough to use.,Positive,User Experience
"Great app if you fly allot. I feel sorry for all the complainers on Google Play reviews. My answer to them, "" aw, muffins""",Positive,Login Issues
I booked my flight and preregistered for my flight with this app no problem at all. Also have very easy access to my boarding pass.,Positive,Booking Page
"Smooth app, however, when viewing booked flights, flight duration doesn't take time zone changes in to consideration.",Positive,Booking Page
Recent updates are a significant improvement,Positive,Update
Well this app is nice but it can get really annoying and it takes a long Time to find the good movies and I am 11 years old and I like horror Movies so add horror movies and I will delete my comment and rate It 5 stars.,Positive,User Experience
Excellent work! Love the standby and import booking features!,Positive,Booking Page
"Saying network not available... while I have full WiFi signals Edit: got replied, thanks. It's issue with Android system webview. Why not to include such helpful information in the error message? At least I can try this app now. So increased to 3 stars. Edit2: I was not able to notice any important note on somewhere top during the frustration... Please show/pop it when users need it, such as in the error message, rather than let us check the network... misleadingly. But one more star for the CS.",Positive,Error Messages
"Just moved from BB OS10 to Android. The bb10 version was a ported Android App but was a bit more stable and connection was much faster. As for the app itself, it is very convenient for the frequent flyer. Love the standby and upgrade list function. Ability to book flights is straightforward.",Positive,Update
I used this app and worked great and would have given it a 5 star until I upgraded it recently. Lost all my flight information and reservations and cannot retrieve this important information for my return home. I deleted the app and reinstalled it with no success. This leaves me stuck as can't use telephone for air Canada and they have no email to confirm flight information. This is very upsetting to say the least. Richard,Negative,Update
"Horrible. I tracked a flight from last Saturday, and because they use the same flight number regularly, I am now getting notices about this week's flight. No way to delete it, or another flight number that I entered incorrectly. Had to uninstall and reinstall (because that's the only way you can track their flights). Total garbage.",Negative,Flight Status
This is the worst app I've ever used. It won't let me add boarding passes for an existing reservation and checked in for. It would not let me finish the check in process and I had to use the website on a laptop instead. What's the point of offering the app if it's useless?,Negative,Boarding
"This app sucks so bad that you should consider using west jet. Every second booking the check in is not working, not on the cell phone or i pad. I will consider not flying air canada anymore because of there failing app. Convinence out the window back to old style check in.",Negative,Check-in
Honestly if I can give this app a zero I would. Nothing but frustration with Air Canada and Aeroplan credentials. I travel often with many airlines and this app has to be the worst. The user interface absolutely useless. So frustrating.,Negative,User Experience
Worked well until november changeover in software - never works now - need name and booking reference number to do anything - why cant they use flight number or aeroplan number as well - who carries their booking refernce number? Useless app now.,Negative,Update
"This app NEVER works. All you get is ""sorry an error has occurred. We hope to resolve this issue soon. You can't download your boarding pass or check your flight status",Negative,Error Messages
"Tapping ""continue"" button twice causes failure. I was unable to check-in using app. After I checked-in at air Canada web page I cannot add boarding passes to the app.",Negative,Check-in
You went from being a useable app which allowed you to basically check everything about your flight to basically a bloated app that points to your website. Worst is you are forced to Updatethe app!,Negative,Update
Doesn't work. Keeps giving me an error message every time I look up my flight. I have installed and re-installed several times to no avail.,Negative,Update
What a garbage app. Doesn't Updateany information (Gate.. seat ) and it keeps giving me an error when adding the boarding pass. Such an embarrassment,Negative,Update
"Like the other reviewers, the app is very difficult as every step taken results in a message informing me that the session is no longer available. Check-in online is easier but another barrier is the app is not compatible on any Samsung device (not available for download to our Samsung tablets from Google Play). This is not good if you have kids!!!!",Negative,Check-in
"Your app is as bad as your customer service. Absolutely garbage. Will not get another dollar from me after throwing up error codes, and TRIPLE CHARGING ME for a single ticket. And not even giving it to me. Then sitting on hold for 3 HOURS, WHILE OFFERING ""GREAT CUSTOMER SERVICE"" figure it out",Negative,User Experience
"Has some good features. Tends to crash. The low rating is from the crash that occurred at the critical moment of check in whilst sitting in a remote, non-english speaking, foreign (from our perspective) country.",Negative,User Experience
"Sadly this app is close to useless. Air Canada used to provide information such as what gate your flight is at, but now nothing that is not on your original ticket, keeps prompting to check-in for flight, but I have.",Negative,Flight Status
Liked the old version. New one can't find my flights to check in most of the time and when it does usually says it failed check-in but seems to have worked anyways. Need to have standby / upgrade and track inbound all linked to boarding pass instead of having to go through multiple menus each time to look,Negative,Update
"I am now in Dutch Carribean and AC website wouldn't let me check flight status for my outbound flight! As soon as I get to AC website, I get a pop-up blocking the screen that travellers from this country have to contact AC reservation... What about Canadians who are here on vacation and what flight status has to do with reservations? Whoever designed this website is an idiot! The Android app is no better, as soon as I start the app it forces me to upgrade and doesn't let me use existing version.",Negative,Flight Status
"Constantly issues. Mobile checkin doesnt work, always crashes, in flight demands doesnt load and recommend to change plugin mid-flight which cant happen. No advance seat selection can be made or eupgrades. The only good thing are the email and mobile nofitications",Negative,Booking Page
"Downloaded this to check in, only to discover it times out on every attempt! Going to check in using an internet browser instead. Keeping this useless app just in case it notifies me of delays or cancellations (doubtful: won't even let me check in)",Negative,Check-in
Cannot get this stupid thing to work right. It keeps apologizing for errors but doesn't fix them,Negative,Error Messages
Previous app had calendar integration but this version does not which kind of defeats the purpose of having this app.,Negative,Calender
Like the new interface however it keeps crashing on my S10+ with Android 10. Only uninstall + reinstall fixes it.,Negative,Update
"Doesn't show you what terminal you are supposed to go to in the Trips section of the app, you have to go to the boarding pass section and it's annoying af",Negative,My trips page
Barely passable as an app. Almost no functionality.,Negative,User Experience
Looks alright but there is pertinent information that is no longer available. Digital altitude card doesn't seem to be an option anymore and when you click on your flight if it's going through the states used to inform you if you needed to clear customs. I'm currently going to Vancouver then Las Vegas from Calgary. No idea anymore where I'm going to customs.,Negative,Flight Status
"There are a few things you'd like expect this app to do well 1) Get to your boarding pass....Nope. most of the time I need to click more, boarding passes, then select the correct one (it shows all old ones). There is no easy notification direct to the boarding pass 2) Show your AC status....nope. Nowhere to be found. This caused me an issue when asking a lounge to print me a new boarding pass. They wouldn't without seeing my status... 3) Check in...nope. Most of the time it's missing",Negative,Flight Status
"The app has taken an enormous step backwards in terms of functionally, design, and performance. Why cannot I edit the features of my flight booked through air canada? Why are boarding passes no longer automatically generated? Why is my name misspelled in the app? On Galaxy S10+ the scrolling animations stutter , menus lag ,and the general aesthetic of the app is visually unappealing. How can this be possible? What exactly was wrong with the previous app? This app feels and runs like its 2009.",Negative,Booking Page
"How do you check-in!? Without going to the more options section? It's under the My Flights section, but if you stop checking in and try again later it doesn't show the option to check-in. How useless! Also it doesn't store CC data for faster checkout when booking a flight. I'd like to see that feature brought back so I don't have to have my card with me when booking a flight. Overall nice looking app, not great function.",Negative,Check-in
"New app. New teething problems. Want to add your boarding pass? It's hidden in the more section. Which btw does not work today. Hopefully soon? App says my phone number country code is wrong and go into the web to fix it. Except it's fine and in the profile. Clearly QA failed to check data parsing. The previous app was great by comparison. AC, you need to test and beta your code more before throwing it over the wall and on your customers heads.",Negative,Boarding
"What happened to the app? It feels as though half the functionality has been stripped out - I can log in to my Aeroplan but other than setting my personal information, what is the point of this?",Negative,Login Issues
Won't show arrival terminal nor seats assigned which is fairly useless.,Negative,Booking Page
"Was able to find my itinerary. After opening the app though it forgot everything and now it can't be found again. Tried signing up through AeroPlan hoping to add it online - very slow process, up to 30 minutes for a verification code?! And wasn't able to find the flight info anyways. Don't understand the value of any of these tools.",Negative,Login Issues
"App was ok till the last update. Unable to sign in so does not allow to link flights booked. Unable to add altitude card details so boarding passes do not carry Altitude Status .. UX is going down .. Edit 1 - The new app sucks at levels new even for Air Canada. The QA should really should ask for money back from his/her school. Cannot check in, cannot import boarding pass if checked in online, no connectivity to Altitude Plan. Please plant a few trees every week for use of paper boarding passes.",Negative,Update
"The new interface is terrible. It has forgotten all of my information, doesn't automatically pull my bookings, etc. So far I've been unable to check in for my flights since the app was changed and have to check in on the web from my desktop or at the airport.",Negative,Booking Page
"Notably less useful than other airline apps. App required me to input record numbers for check-in and for boarding pass even though I was logged in and it should know what flights I have. Also, the check-in process failed repeatedly. Dev team needs to focus more on UX.",Negative,Check-in
"The new Air Canada app loses most of the features of the app it replaced. The only saving grace at the moment is the app responds much faster now, probably due to better coding and integration with the new reservation system. When all the features return it will be better.",Negative,Update
Check in is not working on the app since the last update. AC staff at airport counters have mention many traveler have the same experience.,Negative,Check-in
"Just go to the mobile website, this app sucks. Wont let you check in, boarding passes work once in a while. It's just a slow goofy, semi functioning app. If they made some tweaks and things worked properly, it would be a great app",Negative,Check-in
"Many options on the app, unfortunetly none is working. Always receive a message : ""sorry it's embarassing but this option don't work"". Well at least you try but next time try to put more effort in the funtionality and less in emoji in your error message",Negative,Error Messages
"The new app seems to constantly lose my boarding pass for return legs. Whenever on a trip, I can only ever get access to my outbound boarding pass even though it may be from several days in the past.",Negative,Boarding
Horrible app since update....cant enter my aeroplan number. Every time i try to enter the number it logs me out instantly telling me to log back in and it does the same thing over and over again.,Negative,Login Issues
"Useless app. If you want to do more than just view your itinerary and have an electronic boarding pass, forget it, just use their website and save yourself your storage space.",Negative,Boarding
Updating to the newest version wiped out all of the flight info I had saved in the previous version. I had to find all the reservation numbers and reload them all in the updated app.,Negative,Update
"6 month ago I gave a 1 to AC app, it was a mess.... Now it's getting better and better and I use it daily without any problem. Still slow and the waiting should be manage better. Next step the visual which is minimal. Keep it up",Negative,Update
"The flow is completely wrong and unintuitive. Check-in and boarding passes under ""More"", Really? Notifications now limited to one option. All or nothing choice. And calendar integration, disapeared? Or just just hidden many layers down in a menu item. UPDATED to 3 starts from 1 because of improvements described below. Calendar synch is half there hidden a few layers down but has to be trigged manually for each trips. Still not intuitive.",Negative,Check-in
Their User interface is not the best but it works... Most of the time. Just to be safe always print your boarding pass. Also screen capture you boarding pass. They should explain it abit better. The app is tied to your account. Both have to match in order for it to work well. The app works but it is not very intuitive.,Negative,Boarding
Pretty good app but I find it ridiculous that it orders boarding passes with the oldest on top. I have to scroll through many old boarding passes to get to the one I need,Negative,Boarding
"Would think that you can add Star Alliance loyalty program number, not everyone wants Aeroplan points..... Also can't add reservations ... Need to fix this.",Negative,Booking Page
UPDATED: March 17th. Finally can add existing reservations. Let's give it a month and see if it gets more than 3 stars.,Negative,Update
"Is there any way I can select the seat from the app before check-in? The seat selection feature was there in old app version, but I cant find it in the new app version.",Negative,Seat selection
"Over all good but, could be better for sure..",Negative,Update
I was surprised to see that there was no biometric authentication option in this new update(Nov 2019). I wish they bring it back! Should have more than just three airport maps or atleast list all the lounges and AC facilities around the globe with an option to purchase one-time passes in the app. Integration with Google services like Google Pay to store the boarding passes and Calendar sync for trips. The developer should also consider combining the Rouge Player app with this one.,Negative,Payment Page
"The new app is not pleasing, I was asked to be a participant in the beta but the download never worked in the first place. The old app was great either but I'm hoping that there is some upgrades in the future. Integration with altitude is Zero it seems. Not sure what the big plan is for the future but I hope we step it up a bit.",Negative,Update
"App requires start through the Google Play only. No indcation of altitude status. It would be helpf to have status indication instaed having plastic card. - helpful to have indication of gate for boarding; luggage carousel when arrived. - also would be cool to have boarding started notification and also an option to identify yourself (fot example when boarding already started, but you still have distance to walk to the gate...) - Indication of check-in/luggage drop-off counters would be useful.",Negative,Flight Status
Missing the time until next flight (hour and minutes) on the new app.. the old one had it and it was great when you had delays and tight connections. This information should be located on the first tab when the app is open. Please add this feature back,Negative,Flight Status
"sorta ok but some procedures aren't intuitive. looks like programmers never 'test drove' this thing. and AC is VERY slow in announcing flight delays & cancellations,lll & equipment & gate changes. WITH DUMB NOV 2019 APP UpdateCAN ONLY SEARCH FLIGHTS UP TO THREE DAYS IN ADVANCE!!!!",Negative,Flight Status
This new Updatekeeps crashing. Really great news for me as I have a flight in 6 hours and can't retrieve my boarding pass. Well done AC.,Negative,Boarding
"Latest version of the app (v 5.0.1, 2019-11-15) force closes immediately after opening app. App is currently unusable. Using a Pixel 2XL on Android 10. Please fix the app.",Negative,Update
"The new app looks like a great improvement, all except one huge issue. It does not bring over previously saved trips. Huge annoyance, that is a easy fix for the developers.",Negative,My trips page
This version of the app seems to be a shell of it's former self. It works maybe 1/2 of the time.,Negative,Update
App is negligible in quality since update. Used to show gate and relevant info but not anymore. Please consider a valuable Updatethat is beneficial to the user community,Negative,Flight Status
There are continued bugs with partner elite status not being recognised and seat assignment issues.,Negative,Seat selection
Not saving trip bookings have to re-add every time i assume it will impact flight notifications,Negative,My trips page
It should not take 3 taps to get your boarding pass.,Negative,Boarding
It still does not look finnished. It has no flow to it,Negative,User Experience
"So the new Updatenow deletes my address and credit card number every time. Huge pain. Please fix. Really big fan of bringing the calendar sync option back. Thank you. That really helps with my planning for conference call and also looking back to see which cities I was in on which days. Love to see the calendar info include a little more information like the terminal number, maybe the comments could show the recommended check in times. Good progress.",Negative,Update
The old app was better and had better functionality,Negative,Update
"I use this regularly to show my boarding pass, but this app is very unstable. The looks have improved a lot through the ages, but not performance.",Negative,Boarding
"Not sure what has changed recently, but this app no longer sends digital boarding cards via text or notifications. Also what really has me disappointed is the Air Canada app for android wear os no longer works and has disappeared off the Google Play Store. The wear os app was extremely helpful with the availability of having my boarding pass on my watch, notifications of flight changes and count down to boarding displayed along with gate number. It's all gone. Please make this available once again as it was such a great traveling tool, especially for people like myself that travel very often. Please make compatiable with Fossil Q Explorist again",Negative,Boarding
"the app will say it has no connection if it is sent to the background and brought back again. as far as Air Canada is concerned, i will not be flying with them again. on international flights they make you pay for your luggage. if you have a long layover, they make you get your luggage and re check it and make you pay another fee. so for 2 suitcases it cost me 240 dollars each way. 120 each time we had to check in our luggage. i will stick with air new zealand.",Negative,Baggage page
"While waiting as a restuarant for my order, I had to change my Air Canada account password to confirm my booking, so when I changed it, it brought me back to the original booking for me to confirm. When I confirmed the booking, I choose my seat on the flight and only then had I realized that changing my password had brought me to two different bookings for the exact same flight and date had been both confirmed. I was left with $9 on my bank card and was humiliated trying to explain to the waitress at the restuarant that I couldn't pay for my lunch because this app had double booked and double charged me after simply changing my password. Please fix the app so the same humiliation doesn't happen to anybody else? Still waiting for my refund to go on my bank card...",Negative,Booking Page
"I'm having issues recently. The error I get is the app doesn't connect to a network whether it's wifi or phone network. Tried installing the app multiple times, same problem. Cannot connect to network. Please help.",Negative,User Experience
Some things work well. But the chekin process is full of bugs. Seats won't carry to flight. Group notification will ONLY take the first person. Changing a person checkin will auto assign individual notification using another peraon's email. And I'm just getting started. A little QA wouldn't hurt.,Negative,Check-in
I am disappointed with this app! good thing i had screenshot my boarding pass. Went to the airport and went to the original gate only to find out that they have switched to another gate. I could not get this new information because every time i click to view boarding pass app crashes.,Negative ,Boarding
"It is not user friendly. It doesn't go to the next screen properly & sometimes makes using it a challenge. I have tried to make a reservation several times but when I select a flight, it takes me to another screen & wants me to upgrade. I can't get out of that upgrade screen to move forward. Ergo, I may have to switch airlines to book my trip..",Negative ,User Experience
I am disappointed with this app! good thing i had screenshot my boarding pass. Went to the airport and went to the original gate only to find out that they have switched to another gate. I could not get this new information because every time i click to view boarding pass app crashes.,Negative ,User Experience
I think Delta has a great app. Thanks Delta!,Positive,User Experience
Garbage - keeps losing my trips when I'm logged in,Negative ,My trips page
The app should display your upcoming flight details. Other airlines show your bookings in the app. This app requires you to enter the booking reference first to find your booking which means you have to store that info elsewhere. Should be a one stop shop for your Delta flight.,Negative ,User Experience
I have yet to remember an app that would be so confusing to use,Negative ,User Experience
Ease and dependable,Positive,User Experience
Bad last version. Use the App for many years and always worked great. Now it's not showing my tickets anymore. I checked in on the website and the app keeps asking for a check in. When you go through that it gives an error message at the end...and still no ticket. Horrible,Negative ,User Experience
Checking in and getting boarding passes went well but the app gave me several incorrect flight updates and sent me to the wrong baggage carousel. It consistently wouldn't recognize my e-mail as valid despite sending me emails to that address.,Negative ,Flight Status
I can't download it My phone has a time out. I would have to sit and click download all day. It's saying 3. I would give it a 1. Love the airline. Hate the app.,Negative ,
"I always fly Delta, and their app makes flying with them even easier! I'm typing this sitting on my plane right now. I was lucky to actually make it on, Delta's app updated me constantly on what was going on with my flights so I was able to go straight from my VERY delayed flight to my next flight without having to stop at the board. Saving me that time allowed me to make it to the last of the boarding and I'm able to get to my destination on time. The app also updated me on my luggage so I know it's here with me on the plane and not going to some other destination or lost in transit. It has the digital boarding pass as well so you don't have to worry about losing it in the airport, I personally always print out my boarding pass as well (mostly as travel keepsakes). If you fly with Delta it really pays to have the app. It just makes your whole trip so much smoother.",Positive,User Experience
"Generally a decent app for going paperless which is nice. However, not a single time I have attempt to purchase a mile booster or make any purchases of any kind through the app have I been able to complete the purchase. I'm always faced with a service is unavailable type prompt and because of this Delta has missed out on much of my money, Lol. I will never make the extra effort to use a computer to complete this or purchase anything in person. As a pretty stereo typical millennial, I can tell you that you are missing out on a lot of money Delta by not having a working app. You do some much else so well but this is for sure an important piece of the puzzle. Figure it out please.",Negative ,User Experience
"This app is far and away the best airline app out there. When my flight was delayed, the app immediately offered to switch me to an earlier flight and offered four suggestions. The service was immediate, and far exceeded anything I could have gotten at the gate or the check-in counter. Delta has also really streamlined the check-in process for the app. All I have to do is acknowledge that I can't bring dangerous materials. Where other airlines use the check-in process to try and sell you upgrades, Delta has simply streamlined theres for efficiency. I'm consistently impressed by this application.",Positive,User Experience
"App continually crashes. More often than not, I can't even make a reservation. My reservation has been lost along with my boarding pass at the most inconvenient times. Better get a hard copy of your boarding pass because you can't depend on the app having it.",Negative ,User Experience
Love delta best airline!,Positive,User Experience
"We all need one primary thing from an airline app, and that's our boarding pass. This is not immediately nor really available from the app. It was easier to use their clunky website and get my boarding passes texts to my phone. I've never uninstalled an app so fast, never found an app so useless. It looks like it's loaded with features, yet nothing I need is contained within.",Negative ,User Experience
"The app is a bit frustrating really. On my phone the dialogue boxes don't line up in the frame, so you can't select anything, I have to go in as a guest, because it doesn't accept my account information, and when I do things like reset my password, the app says that the functionality is unavailable and to try again later. Dissappointed. Apps like this can be a great help when traveling, and just make things so much more simple. Hoping these get fixed.",Negative ,User Experience
"I've used this app for years, and it's always been great. Now, with my. latest trip it was showing my flight as being 'Today' even though it wasn't for 24 hours, and when I approached the gate to enter, the boarding pass disappeared. Not cool. It seems to have some issue with the Time Zone perhaps? Never had an issue until now. But, I could see how it could be a major issue if you are just entering security when it goes away -- luckily for. me I just had the gate agent print a boarding pass for me. Fix this!",Negative ,User Experience
"Boarding passes for the right flight automatically showed as if I was flying a day early. Then, on the right day I had to search to find the boarding pass. It found it and I was able to use it to get through security. Then, literally while three steps from the gate the pass disappeared and told me I had no flights that day. Time to uninstall and find an airline that can manage their app.",Negative ,User Experience
Cool idea but execution is bad. It keeps losing by boarding passes.,Negative ,Boarding
"Terrible. half the time when you open the app to view your trip information, it doesn't pull it up. Rather, it asks for your flight number and confirmation. While you are already logged in... Why do they think I got this app? So i have that information handy! I can't tell you how many times i have stood in line to board, only to get to the front and need 5 minutes to look up my information. separately.",Negative ,User Experience
"Awful. Love the layout and the look, but it often crashes and/or just doesn't work. Trying to change my seat from the boarding pass screen ALWAYS crashes. Doing it from my trips usually works, but overall its no longer dependable even for a boarding pass. Too often, I've gotten into the boarding area (SKY btw) and the boarding pass disappears and i have to step aside and wait until the gate agent can manually check me in. By then they've boarded the whole plane, it's just ridiculous.",Negative ,User Experience
"Oooweee, I'm a bit new to Delta and this is my first time using the app. It is some hot garbage. Can't just view my trip without inputting conf#, try to check in but get the ""one of the legs of your trip requires a gate agent"" but it keeps kicking me back, so no mobile boarding pass. Gate changed and 20 min later we're still waiting to take off; no updates on either from the app. But I can ""track"" my bag! ?? What a turd.",Negative ,User Experience
"The phone app is great, the WearOS app not so much. The WearOS app will stay on and not show the boarding pass well (white screen most of the time and not the QR boarding pass code). Also, with the new WearOS 2.0 upgrade, this app caused the watch to constantly crash this morning every 30-45 seconds. Uninstalling the watch app brought stability back to the watch.",Negative ,User Experience
"Okay help tool, don't depend on it. While I was flying, Delta sput me out on my transfer airport with 10 minutes until boarding at the opposite side of the airport and I still had to go through passport check. I know that is not the fault of the app, but it certainly didn't make it any easier that I had to hunt down an airport employee, that didn't send me away because of my young age, to ""discover"" what my boarding gate is, since the app didn't display it. It also ""forgot"" my flights...",Negative ,User Experience
"Undo your changes! When my screen times out i have to relaunch the app. This is a huge inconvenience when boarding, going through security or even searching fights. This a relatively recent change that is a big pain. If I have the boarding pass up and the screen times out I should not have to go back to the beginning to relaunch the app and then wait for the QR code to pop up just to go through secure or boarding. Please go back to prior functionality that leaves you where you left off.",Negative ,User Experience
App requires a good deal more attention in order to make it functional. App regularly requires me to re-check in in order to access my boarding pass which has caused numerous frustrations while boarding in airports with poor connectivity. This is a major bug that needs to be addressed.,Negative ,User Experience
Awesome service great flights,Positive,User Experience
"I rated the app one star for one reason. It doesn't save my boarding pass. It says i don't have any current trips and I have to search for it via my name and confirmation number every time I open the app. This is a huge pain while traveling in the airport because I have to keep pulling it up. The boarding pass and trip is such a basic thing it should not disappear from the app. Honestly, it created such an issue while going through security that I don't think I'll be flying Delta anymore.",Negative ,User Experience
The app hasn't been reliable for at least 3 months. You have to have paper boarding passes as a backup. I have been at the gate on a connecting flight and your boarding pass disappears. It says that you have no flights scheduled. Then you are holding up the line. It is very frustrating. I have reported the problems to counter personnel and gate personnel. Very unreliable.,Negative ,User Experience
"App never allowed me check-in; always had to use a laptop or desktop. App ""needs"" access to GPS location for some reason but couldn't possibly rely on phone's provider for datetime. My phone's datetime updates automatically by signals in time zones without having to enable GPS. App is seems slower now (June 2019) than in March of 2018. App runs even when I have no flights; unable to disable; removing until I need to fly again.",Negative ,User Experience
Site way complicated to navigate. Takes you all over but not where you wont. Needs to be way more of a simple design lay out,Negative ,Navigation 
"The app works only under ideal circumstances. Today I was flying on an itinerary with 2 tickets under different names. The boarding pass barcodes were reversed - not matching with the names and seat assignments displayed above them. This caused a big mess at security and the gate. Since it isn't possible to verify the barcode myself, this is something Delta should make sure works. (Also, the app doesn't let you send the SMS boarding pass that works correctly - you have to use the website.)",Negative ,User Experience
"Fly American often, but lately have had a few Delta flights. they're both the two largest American airlines and I expected the apps to be similar. Wrong. The Delta app behaves in complely unexpected ways. It suddenly needs to refresh when you just looked at your boarding pass a minute ago but now you're showing it to the agent before entering the line, causing other passengers behind you to look at you in disgust. This is just one example.",Negative ,User Experience
"the app constantly reloads your check in every time you open or toggle to the app, fails as you likely won't have service at the terminal door. it'd be helpful to add the option to save boarding pass to a mobile wallet. the application will also auto check in when you open it the night before the flight, bypassing the option to change seats or request a comfort+ seat. once you're checkd in trying to change seats results in an error. they will tell u to call 800# to waste time, no fix in sight",Negative ,User Experience
"Overall the user experience is fine, however I have had a number of issues where a trip will suddenly disappear. I've been sitting at the gate, go to pull up my boarding pass and it's gone. Leaving me to scramble for my confirmation number to re-add the trip. My next trip, I'll be getting a printed boarding pass.",Negative ,User Experience
"This app is useless as a boarding pass. I've tried to use it twice, and both times it would repeatedly log out before boarding. lt'd force me to re-enter my name and confirmation number almost every time tried to use it, even if I hadn't closed the app or locked my phone. This last time I managed to get through security using it, but when I got to the gate, the app forgot me again and said it couldn't be used for my flight! They had to print me a boarding pass there at the gate. 100% useless.",Negative ,User Experience
Awful experience. Poorly designed UI. Slow responses. Crashes. Paper tickets were a much better customer experience. Delta should be ashamed to subject their customers to this app.,Negative ,Application Crashes
It's too flakey always having difficulty,Negative ,User Experience
Works intermittently at best. Delta's website is not much better.,Negative ,User Experience
This app is incredibly slow on my phone and flaky. I have to delete it and reinstall it quite a bit.,Negative ,Application Crashes
"The app works great when you're not in the airport, however when you're in the airport it fails. It either takes several minutes to load your boarding pass, or it gives up entirely. I'm at FLL now and had to get printed tickets from the gate when the app lost all of my information and stopped logging in, after spending several minutes at the TSA station waiting for the boarding passes to load, even though I had them preloaded already and waiting to go. Screenshots are the way to go.",Negative ,User Experience
"Bag tracker doesn't show which carousel, the airport monitors have the information but not the app. Inbound flight selection rarely works on the first attempt, must reload page then try again. App wastes 5 seconds every time it starts, just to show the Delta logo. Early and late flights looks the same with a big red exclamation point. Clicking on notifications doesn't take you to the associated page and notification disappears.",Negative ,User Experience
"I use this app pretty often as I travel about 1.5 times a month on average, most of the domestic trips on Delta. The bar was pretty low for airline apps but I'm always so impressed with how good this app is. I can do everything I need to on the app and have all the info easily at my fingertips. Searching for flights is easy, changing flights or cancelling flights is easy. I love that the boarding pass is clear, easy to use, helps save paper, updates pretty instantly with any new info, and has all necessary links like clicking on your seat takes you to the seat selection screen.",Positive,User Experience
Very powerful and useful app but calendar is so frustrating!!! Add to calendar feature is suboptimal. When an itinerary consists of two connecting flights it only adds the first leg. Even on the apple version the total span of time is added for both flights (I still have to hard code type the 2nd flight number) but not so on Android version.,Negative ,User Experience
"Platinum member. The App has some nice features, but utterly lacks a good user endgame. It reels with a corporate ""you come to me"" feel. Why do I have to check in 10 times for a simple flight to get to my boarding pass? Why do I have to start over every time I launch the App while waiting at my gate? Get it right Delta. You have billions of dollars. A proper App is a small thing in the scheme of things. You have a 3.5 star rating for this App, and that is generous. Deliver.",Negative ,User Experience
I don't know what's happened to this app but none of my reservations pull through anymore. It used to work so much more smoothly in the past...fix the dang issues Delta,Negative ,User Data issue
"This last trip had a delay due to weather. The app told me that it was running late and suggested that I get a different connecting flight. It was so helpful and that new flight was at no charge (maybe because I had the insurance?) The reason for the 4 stars is that, while it was usually great at remembering my info even though I was signed in as a guest, it would forget in the worst timing: when I was in line to board the plane and needed to show my e-boarding pass. I would recommend it anyway.",Positive,User Experience
The app doesn't let me even sign in.,Negative ,Login Issues
"My Trips was the most useful part of this app. now it's just a marketing tool to up sale customers. no focus on usability for the actual guest. i loved using it to simply validate that my flight and seat assignments are correct and give me a feeling of confidence that delta didn't muck with my original purchase months ago. it shows two radio buttons, a dollar amount or sky miles, and a button that says, select or purchase seat assignment. what a confusing mess! sales dept has ruined the app!",Negative ,User Experience
This is the absolute worst airline app. I travel weekly and it is completely unreliable. The moment you lose wifi or data your boarding pass disappears and the app says you do not have any trips. This is ridiculous - other airline apps keep your boarding pass available at all times. I am Platinum on Delta and the app is so frustrating that I am considering going back to United. Fix this!!!,Negative ,User Experience
"Most common issue I see among user reviews, & applies to me as well -- trips that I have previously entered do not get saved when I return to view later. The website seems to have this same issue. This makes it so the user must enter their first/last name & confirmation code every time they want to view trips which is very inconvenient. Accessing the boarding pass quickly is the only reason I have for downloading airline apps in the first place. This should be a high priority bug. Phone: Pixel 3",Negative ,User Experience
"I would give it three stars if this was only for domestic flights. I tried this for my family's trip from a US city to Cancun. The check-in worked fine though I had to enter passport information for myself, my wife and son. But several significant problems happened after that. 1. The app does not provide an offline mode. When we arrived at Cancun, and went through the custom and security, I was asked to show boarding passes. At that time. my cell phone was not connected to the network via WiFi. When I opened the app, it tried to Updatethe information and said something like ""need to be connected to network"". I couldn't find a way to show e-boarding passes. 2. There is no way to show e-boarding passes after the flight has arrived at the destination. So, in my case, I guess I couldn't have shown the e-boarding passes at the security anyway even if the app was connected to the network. 3. For our return flight, I tried to check in at the hotel. But the app didn't allow me to do so. It only worked for my son because he is a US citizen. My wife and I had to check in at the airport. So, it is useless for international flights.",Negative ,User Experience
"don't use for bag check. error when adding bag w/app. added bags to all 6 in party in not just 1 person checking bag. couldn't pay or correct error in app. CS agent kept talking over me when trying to explain problem, ten min in call FINALLY asked for confirm. # to check prob. couldn't correct either and said to just check @ airport but we were staying @ Disney resort so bag transfers from resort must be paid in advance & are printed on boarding pass. very frustrating!",Negative ,User Experience
I recently flew and forgot my Delta Credit card and couldn't make purchases on my flight. I'd like to see added to the app a QR code in the app linking the credit card so the flight attendant can scan the QR code charging to my credit card. This will also save the flight attendant time as they will no longer have to input an email address to send a receipt. What do you think?,Positive,User Experience
"The app doesn't work at all. Had to print my boarding passes anyway because the stupid app wouldn't pull it up. Also as a side note. Delta has been a horrible experience and after this trip, I will never fly Delta again. Delta has forever lost my business. I will be deleting this app. You guys are horrible all around and the app is a reflection of this.",Negative ,User Experience
